customer_id,behavior_type,account_age_days,device_fingerprint,address_fingerprint,payment_fingerprint,ring_id
CUST100000,occasional_returner,764,53d1f543b808,75ca1918fe35,7c2616eed605,
CUST100001,normal,685,56e3efd59587,2568dfb34d5e,6fc1842a8ed9,
CUST100002,occasional_returner,113,2930e5ca5cb6,37c6ac2e61e9,ec4cbf090273,
CUST100003,normal,182,b32d920217ed,cbc5e98fcc2d,3580c31d5c9e,
CUST100004,normal,894,84c81c1d8bc9,e5207270ae88,53a745dbd2b6,
CUST100005,ring_member,855,92856510fbb1,1135ec8f5c40,ccadb79562e7,RING42
CUST100006,occasional_returner,834,559333299289,199bb0d9199e,41589d981e22,
CUST100007,occasional_returner,238,c00ff79ea722,3736f08ff3e2,3a8559698b3e,
CUST100008,normal,767,eb160812bac6,d3d4c7e27722,dd0e91cd4e7d,
CUST100009,normal,96,dbcf9e480ca1,3b769a5eeac8,bcc93c3be53c,
CUST100010,normal,220,db8de6aaf71b,177cefeef808,a1509c40e74b,
CUST100011,serial_abuser,750,cb40b6b3cb39,1518c10ab58b,7ecf31796b6f,
CUST100012,normal,927,07c20ea0850c,1f607d437e93,dc0e77dde4f9,
CUST100013,occasional_returner,984,8eb0f6e22ff9,f7e5c3dd2fe1,a2855aeb5d72,
CUST100014,normal,1473,c5f3a6c0dd4d,cab5bd3c4b44,af05deaa81e9,
CUST100015,normal,1281,7d9162ffda56,a21060de2f53,ff9ba7556f25,
CUST100016,normal,572,cc2b3a8af992,81f1ca361d06,bd3bb162e591,
CUST100017,normal,1175,820f853e8369,6cb2507f8d72,c77a28bd1c45,
CUST100018,occasional_returner,147,0f42bb1dda70,a2949812d647,c2e0d0d457a5,
CUST100019,normal,1286,3954f41a5a67,36a3bde4a2fd,ddb79b77ca4a,
CUST100020,occasional_returner,583,d32f9d29c7e6,85cc57fc0805,6e3e363af5ee,
CUST100021,normal,1141,9b0c0a7a44d4,9fbf3fe31a43,31bdb297c959,
CUST100022,ring_member,1456,b65cdd107e66,c2ecbc227055,4dc747b03d52,RING46
CUST100023,serial_abuser,1056,877873f947ae,46d5a3777ac3,d8826ca94f7d,
CUST100024,occasional_returner,1380,e28633e58852,59631bb2c42f,c1f531e4fd9f,
CUST100025,normal,20,f543f7ad85d0,4758cb682936,37b3fa10a4ac,
CUST100026,normal,259,9699e5838b2e,d22b78edd73e,b210c4cb2d60,
CUST100027,normal,941,4c66176c21ee,3397cabfc170,70142cb04bb0,
CUST100028,normal,813,422f0bf8fbbf,a819b06ce830,37551d6a09a7,
CUST100029,normal,185,42befb326006,f8ad7096197e,4af627ac0e38,
CUST100030,occasional_returner,1078,3984fd8edfe4,f9c424d87f3b,1f073ad745c6,
CUST100031,ring_member,92,8895e40dfcf0,19582701dcc6,6dbd99218238,RING24
CUST100032,normal,1486,58f1c41419d7,bff35f7e254b,271469d0ffc4,
CUST100033,normal,238,63572638124d,b625e225a8c7,a93e7256aee6,
CUST100034,normal,670,7157bf97e3f1,ceb447be3e8a,300c9ccc13db,
CUST100035,normal,1235,5d027e1c07e1,f1b51550d9df,84a0f07e3d89,
CUST100036,normal,773,b3ad23a2e018,72d50e52507e,51188bc721a2,
CUST100037,normal,1117,b07e8e2a976a,3870c4713747,7a0890538d1f,
CUST100038,normal,1056,d4dd72a5c58a,dcf96e41263f,987ea17a2e24,
CUST100039,normal,1423,8f4eb4772b6b,edfcb52d9f81,1ca356a6977b,
CUST100040,normal,698,8fbfc42d086d,7d5854b4902d,9ee621f4486d,
CUST100041,occasional_returner,1468,1dd9a7beb60d,05c03c295e55,96cfefe5e11f,
CUST100042,occasional_returner,777,064349123cd5,55b9ecf27744,c14073f2f5bc,
CUST100043,normal,1340,2691c7bdf98d,3675fcc439b0,fd05cf510d84,
CUST100044,occasional_returner,1100,9d5ea56d8f54,c9f8b8fa0414,4980d2899b6b,
CUST100045,occasional_returner,203,ed3acb123076,32f733c0c82b,3fbc6aca2192,
CUST100046,normal,967,27311d8ca2c7,d5358db8d2d3,3c046884f2a1,
CUST100047,normal,1318,bdcf4be24b3b,242f75fc6900,5891cecce5be,
CUST100048,normal,196,985849defcce,7345624842f0,8deccb4acc36,
CUST100049,normal,1258,bd8a868d9e54,571e36d26944,9239a2046720,
CUST100050,normal,162,53de88240251,fb0307f6daa5,f378b737b244,
CUST100051,normal,1307,e57efb4ef439,79603bb5a0a8,e7a661207a4f,
CUST100052,occasional_returner,1184,c5e665545521,91180137bd8f,dd98c3b57767,
CUST100053,normal,231,81d2951f62e4,c28006601ccd,0e6160f7afea,
CUST100054,occasional_returner,1091,b381a2f0cad3,1b8fcb835f1d,98bdeeb88ed3,
CUST100055,occasional_returner,179,58ed975f8654,5ae878ce66b8,6405b930fc37,
CUST100056,normal,854,75e973798f51,80787513a400,ab78357a5049,
CUST100057,normal,1386,90086a115ce1,f3833be8f729,0644a50269a7,
CUST100058,normal,312,a89cea76f119,9a531de54925,b968ce7574d6,
CUST100059,normal,264,c02eb3762202,1b0a246122c3,2792db007a72,
CUST100060,normal,637,5915841253f0,33f60782c8e9,9d8ff509269e,
CUST100061,normal,556,678c1eb6eb00,1c29e4a6f5f0,6be03bcbe482,
CUST100062,normal,77,f50a860ac088,3ad5df1c6850,da104617f17b,
CUST100063,occasional_returner,686,223f0e17f913,9140e765046e,08583fdbcca8,
CUST100064,normal,393,1b85af4f4d2d,9ef40b2dfa54,08ae5eb54e65,
CUST100065,normal,191,8d51efd90cea,8a3f10d6822b,9ca05bfa7098,
CUST100066,normal,417,ad6c386768fc,7a28264eabb1,93354efb3885,
CUST100067,normal,35,b0d35bc280bc,f60033506d4e,9db61684f8bc,
CUST100068,normal,1372,d5e84ef10aae,b5b6a5c157f4,e88f582f5876,
CUST100069,normal,1491,e8777158011e,f1eb69b42c0c,d2958addedbd,
CUST100070,normal,554,8114716e9c6d,f1bce34c400a,c0298339e227,
