order_id,customer_id,order_date,category,order_value,payment_method,delivery_days,order_hour,is_weekend,account_age_days_at_order,hist_orders_before,hist_return_rate_before,hist_abusive_return_rate_before,hist_chargebacks_before,price_vs_category_avg,is_returned,return_reason,days_to_return,device_fingerprint,address_fingerprint,payment_fingerprint,is_abusive_return,_behavior_type
ORD787ba84699,CUST100000,2025-02-13,footwear,2050.28,card,6,5,0,442,0,0.0,0.0,0,0.932,0,,,53d1f543b808,75ca1918fe35,7c2616eed605,0,occasional_returner
ORD66a58fadab,CUST100000,2025-03-30,apparel,2643.46,UPI,5,9,1,487,1,0.0,0.0,0,1.888,0,,,53d1f543b808,75ca1918fe35,7c2616eed605,0,occasional_returner
ORD825977e917,CUST100000,2025-04-17,footwear,773.3,UPI,3,0,0,505,2,0.0,0.0,0,0.351,1,damaged,17.0,53d1f543b808,75ca1918fe35,7c2616eed605,0,occasional_returner
ORDcb02fb933d,CUST100000,2025-04-26,footwear,1734.47,UPI,2,9,1,514,3,0.3333,0.0,0,0.788,1,damaged,17.0,53d1f543b808,75ca1918fe35,7c2616eed605,0,occasional_returner
ORDb6e6b22411,CUST100000,2025-05-29,beauty,415.29,COD,4,16,0,547,4,0.5,0.0,0,0.593,1,not_as_described,2.0,53d1f543b808,75ca1918fe35,7c2616eed605,0,occasional_returner
ORDcd7154cf27,CUST100000,2025-05-30,mobile,13590.02,card,5,1,0,548,5,0.6,0.0,0,0.971,0,,,53d1f543b808,75ca1918fe35,7c2616eed605,0,occasional_returner
ORDdbd3e4c73b,CUST100000,2025-08-28,electronics,8240.14,UPI,2,14,0,638,6,0.5,0.0,0,1.268,0,,,53d1f543b808,75ca1918fe35,7c2616eed605,0,occasional_returner
ORD0e13430cef,CUST100000,2025-09-11,electronics,14426.72,wallet,5,12,0,652,7,0.4286,0.0,0,2.219,0,,,53d1f543b808,75ca1918fe35,7c2616eed605,0,occasional_returner
ORD5a02f41ca8,CUST100000,2025-10-25,footwear,3055.37,wallet,3,10,1,696,8,0.375,0.0,0,1.389,0,,,53d1f543b808,75ca1918fe35,7c2616eed605,0,occasional_returner
ORD35ac3268ae,CUST100000,2025-10-26,mobile,14778.39,COD,2,5,1,697,9,0.3333,0.0,0,1.056,0,,,53d1f543b808,75ca1918fe35,7c2616eed605,0,occasional_returner
ORDc6ec4a8cd4,CUST100001,2025-01-28,mobile,37032.41,UPI,5,23,0,347,0,0.0,0.0,0,2.645,0,,,56e3efd59587,2568dfb34d5e,6fc1842a8ed9,0,normal
ORD40a3bc2ef4,CUST100001,2025-07-06,beauty,816.58,COD,4,9,1,506,1,0.0,0.0,0,1.167,0,,,56e3efd59587,2568dfb34d5e,6fc1842a8ed9,0,normal
ORDfa37920799,CUST100001,2025-11-07,apparel,1333.5,card,1,14,0,630,2,0.0,0.0,0,0.953,1,size_issue,11.0,56e3efd59587,2568dfb34d5e,6fc1842a8ed9,0,normal
ORD62eb11ae25,CUST100001,2025-12-19,accessories,2089.83,card,5,4,0,672,3,0.3333,0.0,0,2.322,1,damaged,16.0,56e3efd59587,2568dfb34d5e,6fc1842a8ed9,0,normal
ORDb2c623decb,CUST100002,2025-12-09,electronics,6537.13,COD,3,3,0,90,0,0.0,0.0,0,1.006,0,,,2930e5ca5cb6,37c6ac2e61e9,ec4cbf090273,0,occasional_returner
ORDca43212d44,CUST100003,2025-12-04,home,2659.16,UPI,6,4,0,154,0,0.0,0.0,0,1.477,0,,,b32d920217ed,cbc5e98fcc2d,3580c31d5c9e,0,normal
ORD82d18628a1,CUST100004,2025-01-08,apparel,1220.35,card,1,22,0,536,0,0.0,0.0,0,0.872,0,,,84c81c1d8bc9,e5207270ae88,53a745dbd2b6,0,normal
ORD525df0a6f1,CUST100004,2025-01-15,home,1222.02,card,3,22,0,543,1,0.0,0.0,0,0.679,0,,,84c81c1d8bc9,e5207270ae88,53a745dbd2b6,0,normal
ORDac947d0384,CUST100004,2025-02-26,electronics,2778.92,card,2,14,0,585,2,0.0,0.0,0,0.428,0,,,84c81c1d8bc9,e5207270ae88,53a745dbd2b6,0,normal
ORDe5caebfb78,CUST100004,2025-07-03,beauty,530.52,COD,4,7,0,712,3,0.0,0.0,0,0.758,0,,,84c81c1d8bc9,e5207270ae88,53a745dbd2b6,0,normal
ORD71fce22fca,CUST100004,2025-07-26,electronics,5978.02,COD,1,5,1,735,4,0.0,0.0,0,0.92,0,,,84c81c1d8bc9,e5207270ae88,53a745dbd2b6,0,normal
ORD040abd77ca,CUST100004,2025-07-29,footwear,1508.12,card,3,9,0,738,5,0.0,0.0,0,0.686,1,size_issue,24.0,84c81c1d8bc9,e5207270ae88,53a745dbd2b6,0,normal
ORDf2383491bd,CUST100004,2025-10-02,accessories,1515.61,UPI,1,2,0,803,6,0.1667,0.0,0,1.684,0,,,84c81c1d8bc9,e5207270ae88,53a745dbd2b6,0,normal
ORD7240550eeb,CUST100004,2025-10-08,home,1445.89,COD,5,11,0,809,7,0.1429,0.0,0,0.803,1,damaged,16.0,84c81c1d8bc9,e5207270ae88,53a745dbd2b6,0,normal
ORD05ab7f67c2,CUST100004,2025-10-10,apparel,1377.46,UPI,2,3,0,811,8,0.25,0.0,0,0.984,1,not_as_described,9.0,84c81c1d8bc9,e5207270ae88,53a745dbd2b6,0,normal
ORD9980ab9369,CUST100004,2025-12-01,beauty,301.72,COD,7,7,0,863,9,0.3333,0.0,0,0.431,0,,,84c81c1d8bc9,e5207270ae88,53a745dbd2b6,0,normal
ORDafcff42a4d,CUST100005,2025-05-03,home,2699.18,card,4,4,1,612,0,0.0,0.0,0,1.5,1,damaged,23.0,92856510fbb1,1135ec8f5c40,ccadb79562e7,0,ring_member
ORDf8252d8839,CUST100005,2025-07-29,footwear,1447.03,UPI,4,2,0,699,1,1.0,0.0,0,0.658,1,size_issue,30.0,92856510fbb1,1135ec8f5c40,ccadb79562e7,0,ring_member
ORD8c02dfab6a,CUST100005,2025-07-30,beauty,546.43,card,5,20,0,700,2,1.0,0.0,0,0.781,1,no_longer_needed,22.0,92856510fbb1,1135ec8f5c40,ccadb79562e7,0,ring_member
ORDcda32909d6,CUST100005,2025-10-25,beauty,273.25,COD,5,8,1,787,3,1.0,0.0,0,0.39,1,size_issue,26.0,92856510fbb1,1135ec8f5c40,ccadb79562e7,0,ring_member
ORD274a6e4052,CUST100005,2025-12-29,beauty,1496.11,card,1,23,0,852,4,1.0,0.0,0,2.137,0,,,92856510fbb1,1135ec8f5c40,ccadb79562e7,0,ring_member
ORD43d4273a54,CUST100006,2025-01-08,apparel,2463.82,UPI,6,11,0,476,0,0.0,0.0,0,1.76,1,size_issue,2.0,559333299289,199bb0d9199e,41589d981e22,0,occasional_returner
ORD878a170c64,CUST100006,2025-03-01,footwear,3003.28,UPI,7,10,1,528,1,1.0,0.0,0,1.365,0,,,559333299289,199bb0d9199e,41589d981e22,0,occasional_returner
ORD16b9374e0c,CUST100006,2025-03-02,home,1619.58,UPI,3,22,1,529,2,0.5,0.0,0,0.9,1,not_as_described,30.0,559333299289,199bb0d9199e,41589d981e22,0,occasional_returner
ORDca96f0537c,CUST100006,2025-04-23,beauty,1155.79,UPI,7,6,0,581,3,0.6667,0.0,0,1.651,0,,,559333299289,199bb0d9199e,41589d981e22,0,occasional_returner
ORD5301a01165,CUST100006,2025-05-11,apparel,572.95,UPI,7,4,1,599,4,0.5,0.0,0,0.409,1,wrong_item,28.0,559333299289,199bb0d9199e,41589d981e22,0,occasional_returner
ORD6938fbd4c4,CUST100006,2025-05-17,mobile,13924.99,COD,5,21,1,605,5,0.6,0.0,0,0.995,0,,,559333299289,199bb0d9199e,41589d981e22,0,occasional_returner
ORD5440336cc8,CUST100006,2025-06-25,apparel,2186.82,COD,7,14,0,644,6,0.5,0.0,0,1.562,0,,,559333299289,199bb0d9199e,41589d981e22,0,occasional_returner
ORD1ffc85d231,CUST100006,2025-08-10,electronics,7282.63,card,4,8,1,690,7,0.4286,0.0,0,1.12,0,,,559333299289,199bb0d9199e,41589d981e22,0,occasional_returner
ORDf31cb4d3f6,CUST100006,2025-09-24,beauty,330.43,card,5,15,0,735,8,0.375,0.0,0,0.472,0,,,559333299289,199bb0d9199e,41589d981e22,0,occasional_returner
ORDefead82879,CUST100007,2025-01-09,electronics,5216.16,COD,5,10,0,0,0,0.0,0.0,0,0.802,1,changed_mind,6.0,c00ff79ea722,3736f08ff3e2,3a8559698b3e,1,occasional_returner
ORDe945c0fe10,CUST100007,2025-08-20,home,883.31,COD,7,10,0,104,1,1.0,1.0,0,0.491,0,,,c00ff79ea722,3736f08ff3e2,3a8559698b3e,0,occasional_returner
ORDe117f77353,CUST100008,2025-01-04,beauty,637.23,UPI,5,15,1,405,0,0.0,0.0,0,0.91,0,,,eb160812bac6,d3d4c7e27722,dd0e91cd4e7d,0,normal
