cluster_id,size,shares_device,shares_payment,shares_address,shares_device_and_payment,avg_account_age,account_age_std,avg_return_rate,max_return_rate,avg_abusive_return_rate,max_abusive_return_rate,avg_total_orders,is_true_ring
4,3,0,0,1,0,633.0,260.5014395353699,0.16666666666666666,0.3,0.3333333333333333,1.0,5.666666666666667,0
5,9,1,1,0,1,799.1111111111111,319.29001097922105,0.28950617283950614,0.8,0.1388888888888889,0.5,8.222222222222221,1
21,3,0,0,1,0,1299.6666666666667,143.1130089591206,0.18376068376068377,0.3076923076923077,0.0,0.0,12.666666666666666,0
22,6,1,1,0,1,899.1666666666666,563.1701045569329,0.2909632034632035,0.42857142857142855,0.3425925925925926,1.0,9.666666666666666,1
28,3,0,1,1,0,727.6666666666666,189.96403168319347,0.19444444444444442,0.25,0.0,0.0,10.0,0
31,5,1,0,1,0,559.4,418.4355386436482,0.5304761904761905,1.0,0.3,0.5,6.8,1
44,3,0,1,1,0,1131.6666666666667,61.905842481411504,0.2537037037037037,0.4,0.0,0.0,10.333333333333334,0
79,2,0,0,1,0,723.5,116.67261889578035,0.7857142857142857,1.0,0.0,0.0,4.5,0
99,9,1,1,0,1,814.1111111111111,350.99125503509504,0.29001122334455665,0.5,0.1796296296296296,0.5,9.0,1
103,13,1,1,1,1,1030.923076923077,299.89121959427825,0.2026764901764902,0.4444444444444444,0.11153846153846153,1.0,10.692307692307692,1
116,3,0,0,1,0,1031.3333333333333,584.8968570041502,0.17380952380952383,0.25,0.0,0.0,11.0,0
119,3,0,0,1,0,847.3333333333334,565.584947937384,0.16317016317016317,0.3076923076923077,0.0,0.0,9.0,0
125,2,0,1,1,0,547.5,441.9417382415922,0.2403846153846154,0.25,0.0,0.0,8.5,0
136,7,1,1,1,1,581.0,476.39689335678923,0.11882647795960488,0.3333333333333333,0.17142857142857143,1.0,6.571428571428571,1
147,3,0,1,1,0,554.3333333333334,303.4012744425002,0.4545454545454546,1.0,0.3333333333333333,1.0,5.666666666666667,0
161,3,0,0,1,0,642.3333333333334,370.2665706397667,0.15925925925925927,0.2,0.3333333333333333,1.0,8.333333333333334,0
169,18,1,1,1,1,629.9444444444445,465.9898348073602,0.24949294532627864,1.0,0.14682539682539683,1.0,6.555555555555555,1
177,8,0,1,0,0,585.25,278.6712092361585,0.15773809523809523,0.5,0.0625,0.5,4.375,1
179,2,0,0,1,0,710.5,543.765114732455,0.15476190476190477,0.16666666666666666,0.0,0.0,9.5,0
200,2,0,0,1,0,426.0,535.986940139403,0.16666666666666666,0.3333333333333333,0.0,0.0,4.0,0
201,5,1,1,0,1,523.0,443.58933711260465,0.011764705882352941,0.058823529411764705,0.0,0.0,6.2,1
222,2,0,0,1,0,601.5,246.7802666341051,0.0625,0.125,0.0,0.0,6.0,0
223,7,1,0,0,0,677.1428571428571,423.10653842400365,0.21032182103610678,0.625,0.41428571428571426,1.0,7.571428571428571,1
232,5,1,1,1,1,865.4,160.75229391831397,0.24757575757575756,0.3333333333333333,0.0,0.0,8.2,1
233,2,0,1,1,0,632.0,69.29646455628166,0.30000000000000004,0.4,0.0,0.0,5.0,0
234,5,1,0,1,0,644.6,393.3456495246897,0.33529411764705885,1.0,0.2,1.0,8.8,1
248,2,0,0,1,0,928.0,782.0600999923215,0.26041666666666663,0.3333333333333333,0.0,0.0,11.0,0
267,3,0,1,1,0,344.3333333333333,195.60760039766689,0.25925925925925924,0.6666666666666666,0.0,0.0,4.333333333333333,0
275,3,0,0,1,0,1036.3333333333333,476.69731836180216,0.353968253968254,0.42857142857142855,0.0,0.0,13.0,0
284,3,0,1,1,0,340.0,193.00777186424386,0.17857142857142858,0.2857142857142857,0.0,0.0,4.0,0
299,2,0,0,1,0,1124.5,118.08683245815344,0.18406593406593408,0.21428571428571427,0.0,0.0,13.5,0
306,3,0,0,1,0,1242.0,157.378524583248,0.15646662705486233,0.18181818181818182,0.0,0.0,12.333333333333334,0
329,3,0,0,1,0,1057.3333333333333,99.06731718045731,0.24444444444444446,0.4,0.16666666666666666,0.5,11.666666666666666,0
339,5,1,0,1,0,723.4,504.32013642130136,0.1842016806722689,0.2857142857142857,0.1,0.5,9.8,1
341,2,0,0,1,0,882.5,342.94678887547553,0.4444444444444444,0.5555555555555556,0.3,0.6,6.0,0
352,2,0,0,1,0,1041.0,216.37467504308356,0.15476190476190477,0.16666666666666666,0.0,0.0,12.5,0
380,2,0,1,1,0,459.5,355.6747109368334,0.05555555555555555,0.1111111111111111,0.0,0.0,5.5,0
398,3,0,1,0,0,666.3333333333334,605.3778434443511,0.5974025974025974,1.0,0.0,0.0,6.333333333333333,1
403,3,1,0,0,0,768.3333333333334,535.671852287698,0.30833333333333335,0.625,0.19999999999999998,0.6,6.333333333333333,1
427,3,0,0,1,0,660.0,123.04064369142418,0.14444444444444446,0.26666666666666666,0.0,0.0,9.666666666666666,0
432,3,0,0,1,0,745.3333333333334,255.6058163135834,0.13888888888888887,0.25,0.0,0.0,9.0,0
440,9,1,0,0,0,672.6666666666666,419.1747845469715,0.2732108047897521,0.42857142857142855,0.05555555555555555,0.3333333333333333,8.444444444444445,1
450,5,1,0,1,0,519.8,217.4343579106117,0.18666666666666668,0.6,0.13333333333333333,0.6666666666666666,6.0,1
467,3,0,1,1,0,1101.3333333333333,408.0494251108967,0.3796296296296296,0.5,0.0,0.0,12.0,0
496,3,0,0,1,0,763.3333333333334,512.527397641661,0.10227272727272728,0.18181818181818182,0.0,0.0,10.333333333333334,0
519,6,1,1,0,1,786.1666666666666,318.5865136296053,0.23406862745098042,0.5,0.0,0.0,8.666666666666666,1
532,6,0,1,1,0,458.0,557.1814785148551,0.07407407407407407,0.2222222222222222,0.0,0.0,4.0,1
536,3,0,0,1,0,441.6666666666667,404.0177388844868,0.07692307692307693,0.23076923076923078,0.0,0.0,5.666666666666667,0
545,3,0,1,1,0,1192.6666666666667,240.0694344004112,0.355050505050505,0.5333333333333333,0.08333333333333333,0.25,15.333333333333334,0
563,2,0,0,1,0,835.0,107.48023074035522,0.0,0.0,0.0,0.0,6.5,0
570,3,0,0,1,0,793.3333333333334,646.9909839660313,0.0784313725490196,0.23529411764705882,0.0,0.0,9.333333333333334,0
593,9,1,1,1,1,807.4444444444445,417.0252124006147,0.19908853329905962,0.42857142857142855,0.07407407407407407,0.6666666666666666,9.666666666666666,1
594,2,0,0,1,0,972.5,266.5792565073284,0.16666666666666669,0.2,0.0,0.0,12.5,0
597,2,0,1,1,0,411.0,141.4213562373095,0.19642857142857142,0.25,0.0,0.0,5.5,0
600,3,0,1,1,0,942.0,700.5076730486255,0.2504273504273504,0.38461538461538464,0.0,0.0,10.0,0
601,9,1,1,0,1,849.3333333333334,536.7601885386061,0.2628968253968254,0.625,0.15185185185185185,0.6666666666666666,8.0,1
610,8,0,1,0,0,672.0,367.6251973332156,0.30486111111111114,0.5555555555555556,0.15,1.0,7.0,1
612,5,1,1,0,1,567.4,430.6800436518971,0.1265597147950089,0.3333333333333333,0.0,0.0,6.6,1
631,3,0,0,1,0,1028.3333333333333,76.52668379939989,0.13875272331154684,0.1875,0.0,0.0,14.0,0
649,3,0,1,1,0,550.3333333333334,450.29138714096376,0.03333333333333333,0.1,0.0,0.0,5.333333333333333,0
654,10,1,0,1,0,635.6,459.9319273303146,0.44130781499202554,1.0,0.12222222222222223,1.0,7.5,1
674,3,0,1,1,0,869.6666666666666,381.6612808935867,0.15277777777777776,0.3333333333333333,0.0,0.0,9.666666666666666,0
697,2,0,0,1,0,747.5,160.51323932934628,0.275,0.3,0.0,0.0,7.0,0
702,7,1,1,0,1,702.4285714285714,462.6506447068015,0.2748015873015873,1.0,0.09999999999999999,0.5,7.571428571428571,1
706,7,1,1,0,1,672.8571428571429,347.07560587064626,0.23554421768707481,0.5,0.17142857142857143,1.0,6.142857142857143,1
745,3,0,0,1,0,635.3333333333334,597.5360519109565,0.13888888888888887,0.3333333333333333,0.0,0.0,5.333333333333333,0
776,3,0,0,1,0,713.0,667.5005617975164,0.07017543859649122,0.21052631578947367,0.0,0.0,8.333333333333334,0
790,8,1,0,0,0,910.625,383.64080577689185,0.23859265734265733,0.4,0.0625,0.3333333333333333,9.5,1
800,2,0,0,1,0,577.0,82.02438661763951,0.55,0.6,0.5,1.0,4.5,0
817,6,0,1,0,0,928.3333333333334,489.84310413301387,0.2153050108932462,0.35294117647058826,0.12777777777777777,0.6,12.666666666666666,1
829,7,0,1,0,0,641.0,538.2090671848626,0.06530612244897958,0.21428571428571427,0.38095238095238093,1.0,6.857142857142857,1
847,3,0,1,1,0,894.3333333333334,604.9804404551716,0.25555555555555554,0.5,0.0,0.0,8.0,0
850,3,0,0,1,0,899.6666666666666,239.2160808418475,0.2708333333333333,0.4375,0.0,0.0,12.0,0
851,4,1,1,0,1,622.5,594.0715445129483,0.2,0.5,0.125,0.5,8.25,1
860,2,0,0,1,0,636.5,152.02795795510772,0.19930069930069932,0.3076923076923077,0.0,0.0,12.0,0
873,6,1,1,1,1,681.1666666666666,372.8444268950076,0.2119047619047619,0.5714285714285714,0.25,1.0,5.5,1
877,2,0,1,1,0,1296.5,218.4959953866432,0.19375,0.2,0.0,0.0,10.5,0
882,4,1,1,0,1,870.0,607.751045522205,0.1935096153846154,0.46153846153846156,0.13333333333333333,0.3333333333333333,8.75,1
891,7,1,1,0,1,617.0,545.6207474061081,0.15419501133786848,0.3333333333333333,0.0642857142857143,0.25,7.571428571428571,1
918,2,0,1,1,0,592.5,451.8412331782039,0.3787878787878788,0.6666666666666666,0.0,0.0,7.0,0
938,7,1,1,0,1,1031.5714285714287,415.012392241829,0.19530175706646297,0.5,0.14285714285714285,1.0,9.428571428571429,1
949,2,0,0,1,0,909.0,308.2985565973347,0.2426470588235294,0.25,0.0,0.0,12.5,0
956,2,0,0,1,0,793.5,413.6574669941303,0.0625,0.125,0.0,0.0,10.0,0
959,3,0,1,1,0,447.6666666666667,524.0728320885689,0.10416666666666667,0.3125,0.3333333333333333,1.0,6.0,0
970,5,0,1,0,0,873.6,363.44229253074,0.25759803921568625,0.6666666666666666,0.13999999999999999,0.5,12.0,1
987,2,0,0,1,0,684.5,477.29707730091957,0.5,1.0,0.0,0.0,5.5,0
993,7,1,1,0,1,465.85714285714283,517.9727884009058,0.19682539682539682,0.5,0.05714285714285715,0.4,5.428571428571429,1
1021,3,0,0,1,0,435.3333333333333,313.611755732041,0.16666666666666666,0.5,0.0,0.0,5.0,0
1027,2,0,0,1,0,584.5,792.6667017101198,0.07894736842105263,0.15789473684210525,0.0,0.0,10.0,0
1034,8,1,1,1,1,688.875,416.11002580018254,0.2787463450292398,1.0,0.19791666666666666,0.6666666666666666,8.5,1
1042,3,0,1,1,0,265.0,66.70082458260917,0.27777777777777773,0.5,0.3333333333333333,1.0,3.0,0
1080,7,0,1,1,0,659.8571428571429,595.6776053569662,0.10737179487179487,0.3333333333333333,0.0,0.0,8.142857142857142,1
1088,2,0,1,1,0,720.0,14.142135623730951,0.26666666666666666,0.3333333333333333,0.0,0.0,11.0,0
1096,2,0,1,1,0,1251.0,244.65894629054543,0.13571428571428573,0.2,0.0,0.0,14.5,0
1118,3,0,1,1,0,833.0,503.3418321578289,0.15873015873015872,0.3333333333333333,0.3333333333333333,1.0,10.0,0
1142,3,0,0,1,0,776.3333333333334,324.5216993258437,0.06734006734006734,0.1111111111111111,0.3333333333333333,1.0,8.333333333333334,0
1158,2,0,0,1,0,115.0,41.012193308819754,0.0,0.0,0.0,0.0,1.0,0
1178,3,0,0,1,0,681.3333333333334,496.1313670121386,0.13095238095238096,0.16666666666666666,0.0,0.0,8.333333333333334,0
1200,3,0,1,1,0,1042.0,144.8205786482018,0.12156593406593408,0.23076923076923078,0.0,0.0,14.333333333333334,0
1219,6,1,1,1,1,895.0,397.1291981207124,0.20292207792207792,0.375,0.08333333333333333,0.5,9.833333333333334,1
1227,4,0,1,0,0,815.75,295.5,0.21680402930402928,0.3076923076923077,0.25,0.5,8.5,1
1248,2,0,0,1,0,567.0,533.1585130146568,0.1388888888888889,0.16666666666666666,0.0,0.0,10.5,0
1255,3,0,1,1,0,1217.3333333333333,172.2391747928831,0.30341880341880345,0.5833333333333334,0.0,0.0,13.666666666666666,0
1256,2,0,0,1,0,1192.0,258.8010819142764,0.11538461538461539,0.15384615384615385,0.0,0.0,13.0,0
