threshold,fp_count,fn_count,tp_count,fp_cost,fn_cost,total_cost,flag_rate
0.01,2212,0,316,331800.0,0.0,331800.0,0.9886585842784513
0.02,2042,2,314,306300.0,1369.27,307669.27,0.9213922565506453
0.03,1814,3,313,272100.0,2759.3599999999997,274859.36,0.831834180680485
0.04,1603,7,309,240450.0,8089.94,248539.94,0.7477512710207275
0.05,1422,9,307,213300.0,52167.35999999999,265467.36,0.6761830269847477
0.060000000000000005,1266,15,301,189900.0,124832.95,314732.95,0.6128275322643724
0.06999999999999999,1129,20,296,169350.0,135338.84,304688.83999999997,0.557293703558858
0.08,1052,26,290,157800.0,171916.16999999998,329716.17,0.5248337895971842
0.09,975,29,287,146250.0,180383.61,326633.61,0.49354712553773955
0.09999999999999999,919,31,285,137850.0,183998.45,321848.45,0.47086429409464214
0.11,846,35,281,126900.0,216233.88,343133.88,0.4407508799374267
0.12,800,38,278,120000.0,240584.64999999997,360584.64999999997,0.42158779820101683
0.13,735,39,277,110250.0,243630.55,353880.55,0.395776300351975
0.14,686,39,277,102900.0,243630.55,346530.55,0.3766132186155651
0.15000000000000002,642,40,276,96300.0,248640.16,344940.16000000003,0.3590144700821275
0.16,597,43,273,89550.0,254888.12,344438.12,0.3402424716464607
0.17,550,45,271,82500.0,268782.20999999996,351282.20999999996,0.32107938991005086
0.18000000000000002,515,47,269,77250.0,271625.36,348875.36,0.3066093077825577
0.19,485,48,268,72750.0,273168.22,345918.22,0.2944857254595229
0.2,451,51,265,67650.0,278510.44,346160.44,0.2800156433320297
0.21000000000000002,431,57,259,64650.0,323364.01,388014.01,0.2698474775127102
0.22,398,58,258,59700.0,325426.79000000004,385126.79000000004,0.2565506452874462
0.23,374,59,257,56100.0,327298.06000000006,383398.06000000006,0.24677356276886978
0.24000000000000002,358,59,257,53700.0,327298.06000000006,380998.06000000006,0.24051622995698083
0.25,347,59,257,52050.0,327298.06000000006,379348.06000000006,0.23621431364880718
0.26,333,61,255,49950.0,340842.29000000004,390792.29000000004,0.22995698083691826
0.27,313,61,255,46950.0,340842.29000000004,387792.29000000004,0.2221353148220571
0.28,301,63,253,45150.0,358547.50000000006,403697.50000000006,0.21666014861165428
0.29000000000000004,287,64,252,43050.0,361059.13,404109.13,0.21079389910050841
0.3,279,66,250,41850.0,377208.25,419058.25,0.20688306609307783
0.31,271,70,246,40650.0,408505.9000000001,449155.9000000001,0.20219006648416113
0.32,258,71,245,38700.0,411490.38000000006,450190.38000000006,0.19671490027375832
0.33,244,71,245,36600.0,411490.38000000006,448090.38000000006,0.19123973406335548
0.34,235,74,242,35250.0,419680.09,454930.09,0.18654673445443878
0.35000000000000003,219,75,241,32850.0,422443.17000000004,455293.17000000004,0.1798983183418068
0.36000000000000004,210,75,241,31500.0,422443.17000000004,453943.17000000004,0.17637856863511928
0.37,202,76,240,30300.0,432701.77,463001.77,0.17285881892843175
0.38,196,77,239,29400.0,433137.0900000001,462537.0900000001,0.17012123582323035
0.39,183,77,239,27450.0,433137.0900000001,460587.0900000001,0.1650371529135706
0.4,179,77,239,26850.0,433137.0900000001,459987.0900000001,0.16347281971059835
0.41000000000000003,169,78,238,25350.0,436156.0300000001,461506.0300000001,0.1591709034024247
0.42000000000000004,165,79,237,24750.0,437443.5600000001,462193.5600000001,0.15721548689870943
0.43,155,82,234,23250.0,441732.72000000003,464982.72000000003,0.15213140398904967
0.44,151,82,234,22650.0,441732.72000000003,464382.72000000003,0.15056707078607742
0.45,144,83,233,21600.0,442921.15,464521.15,0.14743840438013298
0.46,137,84,232,20550.0,445214.34,465764.34,0.1443097379741885
0.47000000000000003,130,85,231,19500.0,448021.48000000004,467521.48000000004,0.14118107156824403
0.48000000000000004,128,85,231,19200.0,448021.48000000004,467221.48000000004,0.14039890496675791
